data,dia_semana,turno,canal,pedidos,faturamento,ticket_medio,tempo_medio_atendimento_min,funcionarios_no_turno,avaliacao_media_cliente
2025-01-07,Terça,Noite,Salão,41,1051.65,25.65,6.02,10,4.5
2025-01-07,Terça,Noite,Drive-Thru,131,3928.69,29.99,3.39,10,4.5
2025-01-07,Terça,Noite,Delivery/App,48,2239.2,46.65,11.93,10,4.7
2025-01-08,Quarta,Manhã,Salão,34,1202.58,35.37,6.05,5,4.4
2025-01-08,Quarta,Manhã,Drive-Thru,47,1358.3,28.9,3.22,5,4.7
2025-01-08,Quarta,Manhã,Delivery/App,14,572.18,40.87,11.25,5,4.4
2025-01-08,Quarta,Tarde,Salão,68,1763.24,25.93,6.75,7,4.8
2025-01-08,Quarta,Tarde,Drive-Thru,81,2797.74,34.54,3.63,7,4.8
2025-01-08,Quarta,Tarde,Delivery/App,31,1403.68,45.28,11.09,7,4.6
2025-01-08,Quarta,Noite,Salão,49,1627.29,33.21,6.43,9,4.6
2025-01-08,Quarta,Noite,Drive-Thru,115,4475.8,38.92,4.08,9,4.3
2025-01-08,Quarta,Noite,Delivery/App,43,1700.22,39.54,11.62,9,4.4
2025-01-09,Quinta,Manhã,Salão,29,762.12,26.28,5.8,4,4.7
2025-01-09,Quinta,Manhã,Drive-Thru,48,1340.16,27.92,3.25,4,4.7
2025-01-09,Quinta,Manhã,Delivery/App,14,644.98,46.07,10.27,4,4.6
2025-01-09,Quinta,Tarde,Salão,61,2357.65,38.65,4.8,10,5.0
2025-01-09,Quinta,Tarde,Drive-Thru,119,4486.3,37.7,3.97,10,4.5
2025-01-09,Quinta,Tarde,Delivery/App,30,1355.4,45.18,10.67,10,4.9
2025-01-09,Quinta,Noite,Salão,54,1928.34,35.71,5.93,11,4.9
2025-01-09,Quinta,Noite,Drive-Thru,109,3490.18,32.02,3.19,11,4.8
2025-01-09,Quinta,Noite,Delivery/App,39,2027.22,51.98,11.22,11,4.7
2025-01-10,Sexta,Manhã,Salão,41,1089.37,26.57,6.48,6,4.9
2025-01-10,Sexta,Manhã,Drive-Thru,67,2710.15,40.45,3.54,6,4.9
2025-01-10,Sexta,Manhã,Delivery/App,19,994.08,52.32,10.86,6,4.6
2025-01-10,Sexta,Tarde,Salão,75,2127.75,28.37,6.92,6,4.7
2025-01-10,Sexta,Tarde,Drive-Thru,128,3791.36,29.62,3.32,6,4.6
2025-01-10,Sexta,Tarde,Delivery/App,49,2484.3,50.7,11.69,6,4.6
2025-01-10,Sexta,Noite,Salão,60,2104.2,35.07,4.96,13,4.7
2025-01-10,Sexta,Noite,Drive-Thru,129,4148.64,32.16,3.45,13,4.3
2025-01-10,Sexta,Noite,Delivery/App,51,2139.96,41.96,12.01,13,4.7
2025-01-11,Sábado,Manhã,Salão,44,1467.4,33.35,6.41,6,4.5
2025-01-11,Sábado,Manhã,Drive-Thru,73,2302.42,31.54,3.39,6,4.6
2025-01-11,Sábado,Manhã,Delivery/App,18,949.86,52.77,10.84,6,4.5
2025-01-11,Sábado,Tarde,Salão,70,2276.4,32.52,6.52,9,4.7
2025-01-11,Sábado,Tarde,Drive-Thru,166,5919.56,35.66,3.46,9,4.6
2025-01-11,Sábado,Tarde,Delivery/App,48,2203.68,45.91,10.79,9,4.5
2025-01-11,Sábado,Noite,Salão,56,1695.12,30.27,5.94,10,4.6
2025-01-11,Sábado,Noite,Drive-Thru,118,3309.9,28.05,3.24,10,4.3
2025-01-11,Sábado,Noite,Delivery/App,44,1625.8,36.95,11.98,10,4.9
2025-01-12,Domingo,Manhã,Salão,30,793.2,26.44,5.98,5,4.7
2025-01-12,Domingo,Manhã,Drive-Thru,67,2568.11,38.33,3.13,5,4.7
2025-01-12,Domingo,Manhã,Delivery/App,18,745.74,41.43,10.35,5,4.8
2025-01-12,Domingo,Tarde,Salão,71,1832.51,25.81,5.85,10,4.7
2025-01-12,Domingo,Tarde,Drive-Thru,124,4336.28,34.97,3.45,10,4.6
2025-01-12,Domingo,Tarde,Delivery/App,51,2469.93,48.43,11.28,10,4.3
2025-01-12,Domingo,Noite,Salão,57,1639.89,28.77,6.11,9,4.5
2025-01-12,Domingo,Noite,Drive-Thru,153,4322.25,28.25,4.06,9,3.9
2025-01-12,Domingo,Noite,Delivery/App,52,2589.6,49.8,12.37,9,4.4
2025-01-13,Segunda,Manhã,Salão,26,808.6,31.1,6.99,4,4.5
2025-01-13,Segunda,Manhã,Drive-Thru,59,2283.89,38.71,3.73,4,4.7
2025-01-13,Segunda,Manhã,Delivery/App,13,600.73,46.21,10.6,4,4.4
2025-01-13,Segunda,Tarde,Salão,58,1746.38,30.11,6.7,7,4.5
2025-01-13,Segunda,Tarde,Drive-Thru,117,4621.5,39.5,3.17,7,4.6
2025-01-13,Segunda,Tarde,Delivery/App,35,1373.75,39.25,11.3,7,4.6
2025-01-13,Segunda,Noite,Salão,39,1298.7,33.3,5.49,12,4.8
2025-01-13,Segunda,Noite,Drive-Thru,82,2783.9,33.95,2.26,12,5.0
2025-01-13,Segunda,Noite,Delivery/App,35,1656.2,47.32,11.47,12,4.9
2025-01-14,Terça,Manhã,Salão,28,966.28,34.51,5.54,6,4.5
2025-01-14,Terça,Manhã,Drive-Thru,46,1325.72,28.82,2.94,6,4.6
2025-01-14,Terça,Manhã,Delivery/App,12,459.6,38.3,10.17,6,4.1
2025-01-14,Terça,Tarde,Salão,53,1692.82,31.94,5.48,10,4.7
2025-01-14,Terça,Tarde,Drive-Thru,121,3602.17,29.77,3.38,10,4.6
2025-01-14,Terça,Tarde,Delivery/App,35,1359.4,38.84,10.73,10,4.7
2025-01-14,Terça,Noite,Salão,54,1923.48,35.62,6.64,9,4.6
2025-01-14,Terça,Noite,Drive-Thru,150,4362.0,29.08,4.3,9,4.8
2025-01-14,Terça,Noite,Delivery/App,28,1090.88,38.96,11.28,9,4.4
2025-01-15,Quarta,Manhã,Salão,32,848.96,26.53,6.06,5,4.2
2025-01-15,Quarta,Manhã,Drive-Thru,53,1713.49,32.33,2.54,5,4.6
2025-01-15,Quarta,Manhã,Delivery/App,13,588.25,45.25,11.22,5,4.5
2025-01-15,Quarta,Tarde,Salão,69,2283.21,33.09,5.77,6,4.4
2025-01-15,Quarta,Tarde,Drive-Thru,100,3097.0,30.97,4.09,6,4.1
2025-01-15,Quarta,Tarde,Delivery/App,32,1653.76,51.68,11.15,6,4.1
2025-01-15,Quarta,Noite,Salão,47,1784.12,37.96,6.52,10,5.0
2025-01-15,Quarta,Noite,Drive-Thru,108,4204.44,38.93,3.55,10,5.0
2025-01-15,Quarta,Noite,Delivery/App,46,1760.42,38.27,11.7,10,4.8
2025-01-16,Quinta,Manhã,Salão,26,911.56,35.06,5.59,6,4.6
2025-01-16,Quinta,Manhã,Drive-Thru,56,1793.12,32.02,3.3,6,4.2
2025-01-16,Quinta,Manhã,Delivery/App,15,642.9,42.86,11.1,6,4.9
2025-01-16,Quinta,Tarde,Salão,64,1843.84,28.81,5.94,7,4.8
2025-01-16,Quinta,Tarde,Drive-Thru,107,3832.74,35.82,2.67,7,4.5
2025-01-16,Quinta,Tarde,Delivery/App,34,1692.52,49.78,11.05,7,4.6
2025-01-16,Quinta,Noite,Salão,46,1404.38,30.53,6.06,11,4.7
2025-01-16,Quinta,Noite,Drive-Thru,116,4481.08,38.63,3.61,11,4.5
2025-01-16,Quinta,Noite,Delivery/App,42,1631.28,38.84,11.82,11,4.7
2025-01-17,Sexta,Manhã,Salão,46,1450.84,31.54,6.78,4,4.6
2025-01-17,Sexta,Manhã,Drive-Thru,72,2607.12,36.21,2.88,4,4.9
2025-01-17,Sexta,Manhã,Delivery/App,14,583.8,41.7,10.95,4,4.3
2025-01-17,Sexta,Tarde,Salão,78,2098.98,26.91,5.95,10,4.7
2025-01-17,Sexta,Tarde,Drive-Thru,118,4550.08,38.56,3.12,10,4.8
2025-01-17,Sexta,Tarde,Delivery/App,55,2802.25,50.95,10.93,10,4.7
2025-01-17,Sexta,Noite,Salão,68,1751.68,25.76,6.43,8,4.9
2025-01-17,Sexta,Noite,Drive-Thru,155,6153.5,39.7,4.44,8,4.4
2025-01-17,Sexta,Noite,Delivery/App,52,2556.84,49.17,11.75,8,4.5
2025-01-18,Sábado,Manhã,Salão,36,916.92,25.47,6.6,5,4.9
2025-01-18,Sábado,Manhã,Drive-Thru,76,2964.76,39.01,4.34,5,4.4
2025-01-18,Sábado,Manhã,Delivery/App,19,734.92,38.68,9.98,5,4.5
2025-01-18,Sábado,Tarde,Salão,79,2665.46,33.74,7.11,9,4.5
2025-01-18,Sábado,Tarde,Drive-Thru,143,5321.03,37.21,3.7,9,4.7
2025-01-18,Sábado,Tarde,Delivery/App,44,2009.04,45.66,10.59,9,5.0
2025-01-18,Sábado,Noite,Salão,58,2196.46,37.87,6.34,9,4.5
2025-01-18,Sábado,Noite,Drive-Thru,140,5482.4,39.16,3.61,9,4.4
2025-01-18,Sábado,Noite,Delivery/App,47,1817.96,38.68,11.27,9,5.0
2025-01-19,Domingo,Manhã,Salão,41,1378.83,33.63,6.08,4,4.5
2025-01-19,Domingo,Manhã,Drive-Thru,62,2450.24,39.52,3.65,4,4.7
2025-01-19,Domingo,Manhã,Delivery/App,20,906.0,45.3,10.83,4,4.6
2025-01-19,Domingo,Tarde,Salão,63,1623.51,25.77,6.12,10,4.4
2025-01-19,Domingo,Tarde,Drive-Thru,118,3602.54,30.53,2.99,10,4.8
2025-01-19,Domingo,Tarde,Delivery/App,43,1846.85,42.95,11.31,10,4.6
2025-01-19,Domingo,Noite,Salão,54,1662.12,30.78,5.51,12,5.0
2025-01-19,Domingo,Noite,Drive-Thru,142,4603.64,32.42,4.25,12,4.4
2025-01-19,Domingo,Noite,Delivery/App,61,2763.91,45.31,11.54,12,4.9
2025-01-20,Segunda,Manhã,Salão,25,813.5,32.54,4.97,5,4.4
2025-01-20,Segunda,Manhã,Drive-Thru,44,1324.84,30.11,3.37,5,4.3
2025-01-20,Segunda,Manhã,Delivery/App,12,556.2,46.35,10.16,5,4.6
2025-01-20,Segunda,Tarde,Salão,66,1900.8,28.8,5.02,9,4.7
2025-01-20,Segunda,Tarde,Drive-Thru,81,2900.61,35.81,3.5,9,4.2
2025-01-20,Segunda,Tarde,Delivery/App,32,1528.32,47.76,11.18,9,4.8
2025-01-20,Segunda,Noite,Salão,48,1839.84,38.33,5.91,11,4.5
2025-01-20,Segunda,Noite,Drive-Thru,101,3670.34,36.34,3.14,11,4.8
2025-01-20,Segunda,Noite,Delivery/App,42,1543.92,36.76,11.65,11,4.8
2025-01-21,Terça,Manhã,Salão,24,732.96,30.54,5.45,5,4.3
2025-01-21,Terça,Manhã,Drive-Thru,55,1991.55,36.21,3.93,5,4.1
2025-01-21,Terça,Manhã,Delivery/App,10,519.5,51.95,9.98,5,4.5
2025-01-21,Terça,Tarde,Salão,60,1986.6,33.11,6.11,7,4.7
2025-01-21,Terça,Tarde,Drive-Thru,97,3362.99,34.67,3.05,7,4.8
2025-01-21,Terça,Tarde,Delivery/App,36,1508.76,41.91,11.42,7,4.3
2025-01-21,Terça,Noite,Salão,52,1905.8,36.65,6.54,11,4.9
2025-01-21,Terça,Noite,Drive-Thru,111,3826.17,34.47,3.24,11,4.5
2025-01-21,Terça,Noite,Delivery/App,49,1786.54,36.46,11.63,11,4.6
2025-01-22,Quarta,Manhã,Salão,26,971.36,37.36,6.32,6,4.8
2025-01-22,Quarta,Manhã,Drive-Thru,45,1809.9,40.22,3.35,6,4.2
2025-01-22,Quarta,Manhã,Delivery/App,11,484.55,44.05,9.96,6,4.6
2025-01-22,Quarta,Tarde,Salão,56,2124.08,37.93,6.26,9,4.7
2025-01-22,Quarta,Tarde,Drive-Thru,115,4680.5,40.7,3.62,9,4.6
2025-01-22,Quarta,Tarde,Delivery/App,32,1263.04,39.47,10.34,9,4.4
2025-01-22,Quarta,Noite,Salão,47,1222.47,26.01,7.03,11,4.5
2025-01-22,Quarta,Noite,Drive-Thru,124,3604.68,29.07,3.1,11,4.7
2025-01-22,Quarta,Noite,Delivery/App,38,1657.56,43.62,11.2,11,5.0
2025-01-23,Quinta,Manhã,Salão,32,1234.56,38.58,5.58,6,4.7
2025-01-23,Quinta,Manhã,Drive-Thru,58,2017.82,34.79,3.6,6,4.8
2025-01-23,Quinta,Manhã,Delivery/App,15,693.45,46.23,10.67,6,4.8
2025-01-23,Quinta,Tarde,Salão,64,2453.12,38.33,6.65,6,4.5
2025-01-23,Quinta,Tarde,Drive-Thru,103,4223.0,41.0,3.69,6,4.6
2025-01-23,Quinta,Tarde,Delivery/App,35,1762.6,50.36,11.11,6,4.8
2025-01-23,Quinta,Noite,Salão,53,1607.49,30.33,6.91,9,4.4
2025-01-23,Quinta,Noite,Drive-Thru,145,5772.45,39.81,2.8,9,5.0
2025-01-23,Quinta,Noite,Delivery/App,47,2316.63,49.29,11.14,9,5.0
2025-01-24,Sexta,Manhã,Salão,41,1331.68,32.48,6.59,5,4.4
2025-01-24,Sexta,Manhã,Drive-Thru,60,2476.2,41.27,2.55,5,4.8
2025-01-24,Sexta,Manhã,Delivery/App,18,644.22,35.79,11.64,5,4.3
2025-01-24,Sexta,Tarde,Salão,70,2095.8,29.94,5.56,11,5.0
2025-01-24,Sexta,Tarde,Drive-Thru,135,3732.75,27.65,2.51,11,4.7
2025-01-24,Sexta,Tarde,Delivery/App,46,2085.64,45.34,11.08,11,4.7
2025-01-24,Sexta,Noite,Salão,60,1836.0,30.6,5.92,10,4.8
2025-01-24,Sexta,Noite,Drive-Thru,145,5760.85,39.73,3.34,10,4.6
2025-01-24,Sexta,Noite,Delivery/App,59,2701.61,45.79,12.43,10,4.9
2025-01-25,Sábado,Manhã,Salão,36,1020.24,28.34,5.85,5,4.7
2025-01-25,Sábado,Manhã,Drive-Thru,64,2075.52,32.43,4.12,5,4.4
2025-01-25,Sábado,Manhã,Delivery/App,16,792.16,49.51,10.69,5,4.4
2025-01-25,Sábado,Tarde,Salão,71,2673.15,37.65,6.35,6,4.8
2025-01-25,Sábado,Tarde,Drive-Thru,108,3691.44,34.18,3.53,6,4.6
2025-01-25,Sábado,Tarde,Delivery/App,42,2168.88,51.64,11.09,6,4.8
2025-01-25,Sábado,Noite,Salão,62,2391.96,38.58,5.68,13,4.7
2025-01-25,Sábado,Noite,Drive-Thru,166,6658.26,40.11,4.09,13,4.7
2025-01-25,Sábado,Noite,Delivery/App,61,2928.0,48.0,11.6,13,4.9
2025-01-26,Domingo,Manhã,Salão,39,1453.53,37.27,6.31,6,4.6
2025-01-26,Domingo,Manhã,Drive-Thru,79,2855.06,36.14,4.07,6,4.3
2025-01-26,Domingo,Manhã,Delivery/App,19,963.49,50.71,10.43,6,4.6
2025-01-26,Domingo,Tarde,Salão,71,2597.89,36.59,6.3,8,4.6
2025-01-26,Domingo,Tarde,Drive-Thru,153,4236.57,27.69,4.16,8,4.2
2025-01-26,Domingo,Tarde,Delivery/App,43,1689.04,39.28,11.21,8,4.7
2025-01-26,Domingo,Noite,Salão,78,2278.38,29.21,6.45,11,4.5
2025-01-26,Domingo,Noite,Drive-Thru,142,4271.36,30.08,3.94,11,4.7
2025-01-26,Domingo,Noite,Delivery/App,59,2224.3,37.7,12.01,11,4.5
2025-01-27,Segunda,Manhã,Salão,22,745.14,33.87,6.26,4,4.4
2025-01-27,Segunda,Manhã,Drive-Thru,54,2055.24,38.06,3.52,4,4.1
2025-01-27,Segunda,Manhã,Delivery/App,15,640.5,42.7,11.03,4,4.2
2025-01-27,Segunda,Tarde,Salão,42,1464.54,34.87,5.9,10,4.9
2025-01-27,Segunda,Tarde,Drive-Thru,95,3858.9,40.62,2.66,10,5.0
2025-01-27,Segunda,Tarde,Delivery/App,28,1170.96,41.82,10.91,10,4.6
2025-01-27,Segunda,Noite,Salão,39,1451.97,37.23,6.76,9,4.7
2025-01-27,Segunda,Noite,Drive-Thru,109,3287.44,30.16,3.73,9,4.7
2025-01-27,Segunda,Noite,Delivery/App,43,2085.5,48.5,12.02,9,4.4
2025-01-28,Terça,Manhã,Salão,30,1136.4,37.88,6.73,4,4.8
2025-01-28,Terça,Manhã,Drive-Thru,54,1658.34,30.71,2.94,4,4.7
2025-01-28,Terça,Manhã,Delivery/App,12,486.0,40.5,9.87,4,5.0
2025-01-28,Terça,Tarde,Salão,57,1977.33,34.69,5.16,10,4.8
2025-01-28,Terça,Tarde,Drive-Thru,97,3643.32,37.56,3.62,10,4.7
2025-01-28,Terça,Tarde,Delivery/App,36,1338.48,37.18,11.06,10,4.6
2025-01-28,Terça,Noite,Salão,41,1434.59,34.99,5.83,11,4.7
2025-01-28,Terça,Noite,Drive-Thru,112,3226.72,28.81,2.49,11,4.7
2025-01-28,Terça,Noite,Delivery/App,40,1438.0,35.95,11.09,11,4.7
2025-01-29,Quarta,Manhã,Salão,31,1135.84,36.64,5.4,6,4.6
2025-01-29,Quarta,Manhã,Drive-Thru,50,2036.5,40.73,3.9,6,4.8
2025-01-29,Quarta,Manhã,Delivery/App,11,568.81,51.71,10.44,6,4.6
2025-01-29,Quarta,Tarde,Salão,61,1828.78,29.98,5.88,9,4.8
2025-01-29,Quarta,Tarde,Drive-Thru,96,3502.08,36.48,3.8,9,4.9
2025-01-29,Quarta,Tarde,Delivery/App,33,1188.0,36.0,10.39,9,4.6
2025-01-29,Quarta,Noite,Salão,46,1516.16,32.96,6.7,12,4.4
2025-01-29,Quarta,Noite,Drive-Thru,119,4920.65,41.35,3.22,12,4.7
2025-01-29,Quarta,Noite,Delivery/App,43,1540.69,35.83,10.98,12,4.9
2025-01-30,Quinta,Manhã,Salão,28,869.12,31.04,5.88,6,4.8
2025-01-30,Quinta,Manhã,Drive-Thru,57,1970.49,34.57,3.62,6,4.7
2025-01-30,Quinta,Manhã,Delivery/App,18,815.76,45.32,10.42,6,4.5
2025-01-30,Quinta,Tarde,Salão,46,1539.62,33.47,5.42,9,5.0
2025-01-30,Quinta,Tarde,Drive-Thru,114,4300.08,37.72,3.57,9,4.5
2025-01-30,Quinta,Tarde,Delivery/App,33,1437.48,43.56,10.69,9,4.7
2025-01-30,Quinta,Noite,Salão,44,1515.36,34.44,6.52,8,4.5
2025-01-30,Quinta,Noite,Drive-Thru,98,3865.12,39.44,3.02,8,4.7
2025-01-30,Quinta,Noite,Delivery/App,40,1820.8,45.52,11.37,8,4.6
2025-01-31,Sexta,Manhã,Salão,38,1135.06,29.87,6.06,8,4.9
2025-01-31,Sexta,Manhã,Drive-Thru,65,1924.65,29.61,3.99,8,4.2
2025-01-31,Sexta,Manhã,Delivery/App,15,684.6,45.64,9.39,8,4.8
2025-01-31,Sexta,Tarde,Salão,57,1996.71,35.03,6.67,6,4.5
2025-01-31,Sexta,Tarde,Drive-Thru,158,4435.06,28.07,5.09,6,4.2
2025-01-31,Sexta,Tarde,Delivery/App,47,1777.07,37.81,12.24,6,4.6
2025-01-31,Sexta,Noite,Salão,77,1966.58,25.54,6.37,11,4.3
2025-01-31,Sexta,Noite,Drive-Thru,157,5463.6,34.8,3.76,11,4.2
2025-01-31,Sexta,Noite,Delivery/App,49,1860.53,37.97,11.84,11,4.5
2025-02-01,Sábado,Manhã,Salão,35,1174.6,33.56,6.36,5,4.3
2025-02-01,Sábado,Manhã,Drive-Thru,60,1452.6,24.21,3.58,5,4.7
2025-02-01,Sábado,Manhã,Delivery/App,15,657.45,43.83,10.29,5,4.6
2025-02-01,Sábado,Tarde,Salão,69,2297.01,33.29,6.53,7,4.6
2025-02-01,Sábado,Tarde,Drive-Thru,129,3989.97,30.93,3.41,7,4.5
2025-02-01,Sábado,Tarde,Delivery/App,30,1315.8,43.86,11.42,7,4.5
2025-02-01,Sábado,Noite,Salão,51,1369.35,26.85,6.54,11,4.3
2025-02-01,Sábado,Noite,Drive-Thru,138,4632.66,33.57,3.75,11,4.9
2025-02-01,Sábado,Noite,Delivery/App,46,1468.32,31.92,11.52,11,4.7
2025-02-02,Domingo,Manhã,Salão,28,849.8,30.35,5.06,6,4.5
2025-02-02,Domingo,Manhã,Drive-Thru,45,1208.25,26.85,2.63,6,4.5
2025-02-02,Domingo,Manhã,Delivery/App,16,651.04,40.69,10.07,6,4.5
2025-02-02,Domingo,Tarde,Salão,86,2782.96,32.36,5.28,8,5.0
2025-02-02,Domingo,Tarde,Drive-Thru,96,2972.16,30.96,2.77,8,5.0
2025-02-02,Domingo,Tarde,Delivery/App,41,1731.84,42.24,11.37,8,4.7
2025-02-02,Domingo,Noite,Salão,52,1722.24,33.12,6.09,12,4.5
2025-02-02,Domingo,Noite,Drive-Thru,124,3698.92,29.83,2.88,12,4.5
2025-02-02,Domingo,Noite,Delivery/App,53,2047.39,38.63,11.31,12,4.9
2025-02-03,Segunda,Manhã,Salão,20,536.0,26.8,5.26,5,4.6
2025-02-03,Segunda,Manhã,Drive-Thru,47,1232.34,26.22,3.48,5,4.7
2025-02-03,Segunda,Manhã,Delivery/App,11,362.56,32.96,10.19,5,4.7
2025-02-03,Segunda,Tarde,Salão,53,1237.55,23.35,5.28,6,5.0
2025-02-03,Segunda,Tarde,Drive-Thru,89,2983.28,33.52,3.25,6,4.7
2025-02-03,Segunda,Tarde,Delivery/App,30,1269.6,42.32,11.09,6,4.3
2025-02-03,Segunda,Noite,Salão,42,1062.6,25.3,5.81,11,4.9
2025-02-03,Segunda,Noite,Drive-Thru,87,2739.63,31.49,3.26,11,5.0
2025-02-03,Segunda,Noite,Delivery/App,30,980.7,32.69,11.57,11,4.7
2025-02-04,Terça,Manhã,Salão,21,540.75,25.75,5.61,6,4.4
2025-02-04,Terça,Manhã,Drive-Thru,41,1298.06,31.66,3.39,6,4.3
2025-02-04,Terça,Manhã,Delivery/App,13,530.53,40.81,9.58,6,4.3
2025-02-04,Terça,Tarde,Salão,38,1151.78,30.31,6.13,6,4.5
2025-02-04,Terça,Tarde,Drive-Thru,68,1696.6,24.95,3.76,6,4.5
2025-02-04,Terça,Tarde,Delivery/App,24,807.12,33.63,10.83,6,4.6
2025-02-04,Terça,Noite,Salão,42,959.28,22.84,6.77,8,4.3
2025-02-04,Terça,Noite,Drive-Thru,105,3266.55,31.11,3.28,8,4.8
2025-02-04,Terça,Noite,Delivery/App,29,894.36,30.84,11.67,8,4.3
2025-02-05,Quarta,Manhã,Salão,21,646.17,30.77,5.27,6,4.6
2025-02-05,Quarta,Manhã,Drive-Thru,48,1252.8,26.1,3.22,6,4.4
